title,_end_time,_begin,_begin_precision,uid,description,created,last_modified,location,url
Haiti Parliamentary (Second Round) Election 2006,2006-04-21T08:00:00-04:00,2006-04-21T08:00:00-04:00,second,calendar.12248.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary Runoff,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Latin America & the Caribbean, Haiti",https://www.ndi.org/node/12248
2016 Thailand Constitutional Referendum,2016-08-07T08:00:00-04:00,2016-08-07T08:00:00-04:00,second,calendar.18479.field_ndi_elect_day_date.0@www.ndi.org,Constitutional Assembly,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Thailand",https://www.ndi.org/node/18479
Belarus Parliamentary Election 2008,2008-09-29T00:00:00+00:00,2008-09-28T00:00:00+00:00,day,calendar.11899.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2016-10-26T21:32:28+00:00,"Eurasia, Belarus",https://www.ndi.org/node/11899
Gambia Legislative Election 2007,2007-01-25T10:00:00-05:00,2007-01-25T10:00:00-05:00,second,calendar.12273.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:22:59+00:00,2019-05-31T17:09:55+00:00,"Sub Saharan Africa, Gambia, The",https://www.ndi.org/node/12273
Burkina Faso Parliamentary/Local Election 2012,2012-12-02T10:00:00-05:00,2012-12-02T10:00:00-05:00,second,calendar.12106.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Burkina Faso",https://www.ndi.org/node/12106
2024 Ghana General Election,2024-12-08T00:00:00+00:00,2024-12-07T00:00:00+00:00,day,calendar.26963.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2024-03-18T15:32:44+00:00,Ghana,https://www.ndi.org/2024-ghana-general-election
2021 Mongolia Presidential Election,2021-06-10T00:00:00+00:00,2021-06-09T00:00:00+00:00,day,calendar.26153.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2021-06-08T15:05:38+00:00,Mongolia,https://www.ndi.org/2021-mongolia-presidential-election
Guinea-Bissau Presidential (first round) Election 2005,2005-06-20T00:00:00+00:00,2005-06-19T00:00:00+00:00,day,calendar.11757.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-26T19:28:16+00:00,"Sub Saharan Africa, Guinea Bissau",https://www.ndi.org/node/11757
Mongolia Presidential Election 2013,2013-06-26T08:00:00-04:00,2013-06-26T08:00:00-04:00,second,calendar.12131.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Mongolia",https://www.ndi.org/node/12131
Albania Parliamentary Election 2005,2005-07-03T08:00:00-04:00,2005-07-03T08:00:00-04:00,second,calendar.11782.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Albania",https://www.ndi.org/node/11782
2019 Papua New Guinea Referendum Election,2019-12-08T00:00:00+00:00,2019-11-23T00:00:00+00:00,day,calendar.25298.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:23:00+00:00,2019-10-28T13:56:54+00:00,"Asia, Papua New Guinea",https://www.ndi.org/2019-papua-new-guinea-referendum-election
Romania Referendum 2012,2012-07-30T00:00:00+00:00,2012-07-29T00:00:00+00:00,day,calendar.12096.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:22:59+00:00,2016-10-27T14:04:57+00:00,"Central and Eastern Europe, Romania",https://www.ndi.org/node/12096
2016 Mongolia Legislative Elections,2016-06-29T08:00:00-04:00,2016-06-29T08:00:00-04:00,second,calendar.12435.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Mongolia",https://www.ndi.org/node/12435
2016 Rwanda Local Elections Phase 4: Kigali Mayoral Elections,2016-03-22T08:00:00-04:00,2016-03-22T08:00:00-04:00,second,calendar.12460.field_ndi_elect_day_date.0@www.ndi.org,Local Phase 4,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Rwanda, Sub Saharan Africa",https://www.ndi.org/node/12460
Azerbaijan Referendum 2009,2009-03-18T08:00:00-04:00,2009-03-18T08:00:00-04:00,second,calendar.11919.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Azerbaijan, Eurasia",https://www.ndi.org/node/11919
2024 Turkey Local Elections,2024-04-01T00:00:00+00:00,2024-03-31T00:00:00+00:00,day,calendar.27160.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2024-03-18T14:30:48+00:00,Turkey,https://www.ndi.org/2024-turkey-local-elections
2016 Bosnia & Herzegovina Referendum,2016-09-26T00:00:00+00:00,2016-09-25T00:00:00+00:00,day,calendar.18524.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:22:59+00:00,2017-01-03T20:07:04+00:00,"Central and Eastern Europe, Bosnia-Herzegovina",https://www.ndi.org/node/18524
Mauritania Presidential (First Round) Election 2009,2009-07-18T08:00:00-04:00,2009-07-18T08:00:00-04:00,second,calendar.11944.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Middle East and North Africa, Mauritania",https://www.ndi.org/node/11944
2021 Iraq Parliamentary Elections,2021-10-11T00:00:00+00:00,2021-10-10T00:00:00+00:00,day,calendar.25991.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2021-02-01T19:06:40+00:00,Iraq,https://www.ndi.org/2021-iraq-parliamentary-elections
2019 Tunisia Presidential Runoff Election,2019-10-14T00:00:00+00:00,2019-10-13T00:00:00+00:00,day,calendar.25520.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:23:00+00:00,2020-10-28T21:10:45+00:00,Tunisia,https://www.ndi.org/2019-tunisia-presidential-runoff-election
Democratic Republic of Congo Presidential (Second Round) Election 2006,2006-10-30T00:00:00+00:00,2006-10-29T00:00:00+00:00,day,calendar.12258.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:23:00+00:00,2016-10-27T18:54:41+00:00,"Sub Saharan Africa, Democratic Republic of Congo (DRC)",https://www.ndi.org/node/12258
2016 Comoros Presidential Rerun,2016-05-12T00:00:00+00:00,2016-05-11T00:00:00+00:00,day,calendar.18489.field_ndi_elect_day_date.0@www.ndi.org,Re-run Presidential Runoff,2024-07-10T13:22:59+00:00,2017-02-09T21:37:36+00:00,"Sub Saharan Africa, Comoros",https://www.ndi.org/node/18489
Zimbabwe Presidential (2nd Round) Election 2008,2008-06-27T08:00:00-04:00,2008-06-27T08:00:00-04:00,second,calendar.12283.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Zimbabwe",https://www.ndi.org/node/12283
Serbia/Montenegro Referendum 2006,2006-05-22T00:00:00+00:00,2006-05-21T00:00:00+00:00,day,calendar.11802.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:22:59+00:00,2016-10-26T21:25:08+00:00,"Sub Saharan Africa, Central and Eastern Europe, Montenegro, Serbia",https://www.ndi.org/node/11802
2018 Sierra Leone Presidential Runoff,2018-04-01T00:00:00+00:00,2018-03-31T00:00:00+00:00,day,calendar.24969.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:22:59+00:00,2018-03-27T13:58:49+00:00,Sierra Leone,https://www.ndi.org/2018-sierra-leone-presidential-runoff
Ecuador Presidential and Legislative Election 2013,2013-02-17T10:00:00-05:00,2013-02-17T10:00:00-05:00,second,calendar.12116.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Ecuador, Latin America & the Caribbean",https://www.ndi.org/node/12116
Tajikistan Parliamentary (First round) Election 2005,2005-02-27T10:00:00-05:00,2005-02-27T10:00:00-05:00,second,calendar.11767.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Eurasia, Tajikistan",https://www.ndi.org/node/11767
Cameroon Legislative Election 2013,2013-09-30T08:00:00-04:00,2013-09-30T08:00:00-04:00,second,calendar.12141.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Cameroon",https://www.ndi.org/node/12141
2024 Senegal Presidential Elections,2024-03-25T00:00:00+00:00,2024-03-24T00:00:00+00:00,day,calendar.26806.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:23:00+00:00,2024-03-07T15:32:04+00:00,Senegal,https://www.ndi.org/2024-senegal-presidential-elections
Uganda Local Election 2006,2006-02-28T10:00:00-05:00,2006-02-28T10:00:00-05:00,second,calendar.11792.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Uganda",https://www.ndi.org/node/11792
2020 Cameroon Legislative and Municipal Elections,2020-02-10T00:00:00+00:00,2020-02-09T00:00:00+00:00,day,calendar.25647.field_ndi_elect_day_date.0@www.ndi.org,"Legislative, Municipal",2024-07-10T13:22:59+00:00,2020-01-31T21:11:00+00:00,Cameroon,https://www.ndi.org/2020-cameroon-legislative-and-municipal-elections
2017 The Gambia Parliamentary Elections,2017-04-07T00:00:00+00:00,2017-04-06T00:00:00+00:00,day,calendar.24488.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2017-02-27T18:50:09+00:00,"Gambia, The",https://www.ndi.org/2017-gambia-parliamentary-elections
2016 Niger Local Elections,2016-05-09T08:00:00-04:00,2016-05-09T08:00:00-04:00,second,calendar.12445.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Niger",https://www.ndi.org/node/12445
2023 The Gambia Local Elections,2023-05-21T00:00:00+00:00,2023-05-20T00:00:00+00:00,day,calendar.26831.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2023-05-16T20:18:41+00:00,Sub Saharan Africa,https://www.ndi.org/2023-gambia-local-elections
2020 Malawi Presidential Elections,2020-06-24T00:00:00+00:00,2020-06-23T00:00:00+00:00,day,calendar.25672.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:23:00+00:00,2020-06-11T16:01:49+00:00,Malawi,https://www.ndi.org/2020-malawi-presidential-elections
2024 Lithuania Legislative Election,2024-10-14T00:00:00+00:00,2024-10-13T00:00:00+00:00,day,calendar.27145.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:22:59+00:00,2024-03-05T15:47:10+00:00,Eurasia,https://www.ndi.org/2024-lithuania-legislative-election
2016 Burkina Faso Municipal Elections,2016-05-22T08:00:00-04:00,2016-05-22T08:00:00-04:00,second,calendar.12470.field_ndi_elect_day_date.0@www.ndi.org,Municipal,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Burkina Faso",https://www.ndi.org/node/12470
2016 Sao Tome and Principe Presidential Run-Off,2016-08-08T00:00:00+00:00,2016-08-07T00:00:00+00:00,day,calendar.18509.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:22:59+00:00,2017-01-12T17:30:17+00:00,"Sub Saharan Africa, Sao Tome and Principe",https://www.ndi.org/node/18509
Ghana Presidential/Legislative Election 2008,2008-12-07T10:00:00-05:00,2008-12-07T10:00:00-05:00,second,calendar.11929.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Ghana",https://www.ndi.org/node/11929
2015 Zambia Presidential By-Election,2015-01-21T00:00:00+00:00,2015-01-20T00:00:00+00:00,day,calendar.12303.field_ndi_elect_day_date.0@www.ndi.org,Presidential By-election,2024-07-10T13:22:59+00:00,2017-02-10T18:59:18+00:00,"Sub Saharan Africa, Zambia",https://www.ndi.org/node/12303
Uruguay General Election 2009,2009-10-25T08:00:00-04:00,2009-10-25T08:00:00-04:00,second,calendar.11954.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Latin America & the Caribbean, Uruguay",https://www.ndi.org/node/11954
2020 Syria Parliamentary Election,2020-07-20T00:00:00+00:00,2020-07-19T00:00:00+00:00,day,calendar.25530.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2020-05-08T16:46:31+00:00,Middle East and North Africa,https://www.ndi.org/2020-syria-parliamentary-election
Egypt Parliamentary Phase 2 Election 2011,2011-12-14T10:00:00-05:00,2011-12-14T10:00:00-05:00,second,calendar.12268.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary Phase 2,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Middle East and North Africa, Egypt",https://www.ndi.org/node/12268
2024 Uruguay General Election,2024-10-28T00:00:00+00:00,2024-10-27T00:00:00+00:00,day,calendar.27003.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2023-10-05T16:33:46+00:00,Uruguay,https://www.ndi.org/2024-uruguay-general-election
Kosovo Local (Runoff) Election 2009,2009-12-13T10:00:00-05:00,2009-12-13T10:00:00-05:00,second,calendar.12293.field_ndi_elect_day_date.0@www.ndi.org,Local Runoff,2024-07-10T13:23:00+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Kosovo",https://www.ndi.org/node/12293
2023 Iraq Regional Election,2023-12-19T00:00:00+00:00,2023-12-18T00:00:00+00:00,day,calendar.26958.field_ndi_elect_day_date.0@www.ndi.org,"Local, Regional",2024-07-10T13:23:00+00:00,2023-11-16T16:00:36+00:00,Iraq,https://www.ndi.org/2023-iraq-regional-election
Yemen Presidential Election 2006,2006-09-20T08:00:00-04:00,2006-09-20T08:00:00-04:00,second,calendar.11812.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Middle East and North Africa, Yemen",https://www.ndi.org/node/11812
2019 Albania Local Elections,2019-07-01T00:00:00+00:00,2019-06-30T00:00:00+00:00,day,calendar.25328.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:23:00+00:00,2019-06-11T16:05:57+00:00,Albania,https://www.ndi.org/2019-albania-local-elections
Malaysia General Election 2013,2013-05-05T08:00:00-04:00,2013-05-05T08:00:00-04:00,second,calendar.12126.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Malaysia",https://www.ndi.org/node/12126
Kyrgyzstan Parliamentary (First round) Election 2005,2005-02-28T00:00:00+00:00,2005-02-27T00:00:00+00:00,day,calendar.11777.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:23:00+00:00,2016-10-26T21:17:30+00:00,"Eurasia, Kyrgyzstan",https://www.ndi.org/node/11777
Guinea-Bissau General Election 2013,2013-11-25T00:00:00+00:00,2013-11-24T00:00:00+00:00,day,calendar.12151.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2016-10-27T15:20:54+00:00,"Sub Saharan Africa, Guinea Bissau",https://www.ndi.org/node/12151
2016 Bhutan Local Elections,2016-01-25T10:00:00-05:00,2016-01-25T10:00:00-05:00,second,calendar.12455.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Asia, Belize",https://www.ndi.org/node/12455
2023 Poland Legislative Elections,2023-10-16T00:00:00+00:00,2023-10-15T00:00:00+00:00,day,calendar.26841.field_ndi_elect_day_date.0@www.ndi.org,Legislative,2024-07-10T13:23:00+00:00,2023-08-23T17:38:54+00:00,Poland,https://www.ndi.org/2023-poland-legislative-elections
2018 Mali Presidential Election,2018-07-30T00:00:00+00:00,2018-07-29T00:00:00+00:00,day,calendar.24862.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2018-03-19T21:05:32+00:00,Mali,https://www.ndi.org/2018-mali-presidential-election
2016 Cote d'Ivoire Constitutional Referendum,2016-10-31T00:00:00+00:00,2016-10-30T00:00:00+00:00,day,calendar.18519.field_ndi_elect_day_date.0@www.ndi.org,Referendum,2024-07-10T13:22:59+00:00,2017-01-03T19:49:31+00:00,"Sub Saharan Africa, Côte d’Ivoire",https://www.ndi.org/node/18519
Albania Parliamentary Election 2009,2009-06-28T08:00:00-04:00,2009-06-28T08:00:00-04:00,second,calendar.11939.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Albania",https://www.ndi.org/node/11939
2019 Namibia Presidential Elections,2019-11-28T00:00:00+00:00,2019-11-27T00:00:00+00:00,day,calendar.25515.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2019-09-23T13:52:20+00:00,Namibia,https://www.ndi.org/2019-namibia-presidential-elections
2015 Cote d'Ivoire Presidential Election,2015-10-26T00:00:00+00:00,2015-10-25T00:00:00+00:00,day,calendar.12313.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2017-02-10T16:47:26+00:00,"Sub Saharan Africa, Côte d’Ivoire",https://www.ndi.org/node/12313
2022 Bosnia and Herzegovina Presidential and Parliamentary Elections,2022-10-03T00:00:00+00:00,2022-10-02T00:00:00+00:00,day,calendar.26360.field_ndi_elect_day_date.0@www.ndi.org,Presidential and Parliamentary,2024-07-10T13:23:00+00:00,2022-03-24T16:03:44+00:00,Bosnia-Herzegovina,https://www.ndi.org/2022-bosnia-and-herzegovina-presidential-and-parliamentary-elections
Azerbaijan Local Election 2009,2009-12-23T10:00:00-05:00,2009-12-23T10:00:00-05:00,second,calendar.11964.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Azerbaijan, Eurasia",https://www.ndi.org/node/11964
2020 Montenegro Parliamentary Elections,2020-08-31T00:00:00+00:00,2020-08-30T00:00:00+00:00,day,calendar.25540.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2020-06-22T16:37:06+00:00,Montenegro,https://www.ndi.org/2020-montenegro-parliamentary-elections
Sierra Leone Presidential Election (Second Round) 2007,2007-09-08T08:00:00-04:00,2007-09-08T08:00:00-04:00,second,calendar.12278.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sierra Leone, Sub Saharan Africa",https://www.ndi.org/node/12278
2024 Belarus Parliamentary Election,2024-02-26T00:00:00+00:00,2024-02-25T00:00:00+00:00,day,calendar.26664.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2023-11-16T15:58:29+00:00,Belarus,https://www.ndi.org/2024-belarus-parliamentary-election
Peru Local Election 2006,2006-11-19T10:00:00-05:00,2006-11-19T10:00:00-05:00,second,calendar.11822.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Peru, Latin America & the Caribbean",https://www.ndi.org/node/11822
Mali Presidential Election 2013,2013-07-28T08:00:00-04:00,2013-07-28T08:00:00-04:00,second,calendar.12136.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Mali",https://www.ndi.org/node/12136
2023 Maldives Presidential Runoff Election,2023-10-01T00:00:00+00:00,2023-09-30T00:00:00+00:00,day,calendar.26993.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:23:00+00:00,2023-09-28T18:42:45+00:00,Maldives,https://www.ndi.org/2023-maldives-presidential-runoff-election
South Africa Presidential Election 2004,2004-04-14T08:00:00-04:00,2004-04-14T08:00:00-04:00,second,calendar.11787.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, South Africa",https://www.ndi.org/node/11787
2019 Slovakia Presidential Runoff Election,2019-03-31T00:00:00+00:00,2019-03-30T00:00:00+00:00,day,calendar.25363.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:23:00+00:00,2019-03-19T00:42:46+00:00,Slovakia,https://www.ndi.org/2019-slovakia-presidential-runoff-election
Costa Rica General Election 2014,2014-02-03T00:00:00+00:00,2014-02-02T00:00:00+00:00,day,calendar.12161.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2016-10-27T15:23:52+00:00,"Latin America & the Caribbean, Costa Rica",https://www.ndi.org/node/12161
2017 Cuba Municipal Elections,2017-11-27T00:00:00+00:00,2017-11-26T00:00:00+00:00,day,calendar.24847.field_ndi_elect_day_date.0@www.ndi.org,Municipal,2024-07-10T13:22:59+00:00,2017-11-27T20:56:19+00:00,Cuba,https://www.ndi.org/2017-cuba-municipal-elections
2016 Kazakhstan Snap Election,2016-03-21T00:00:00+00:00,2016-03-20T00:00:00+00:00,day,calendar.12465.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2017-01-12T17:39:37+00:00,Kazakhstan,https://www.ndi.org/node/12465
2018 Brazil General Election,2018-10-08T00:00:00+00:00,2018-10-07T00:00:00+00:00,day,calendar.24872.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2017-12-28T20:19:41+00:00,Brazil,https://www.ndi.org/2018-brazil-general-election
2016 Bulgaria Presidential Election and Referendum,2016-11-07T00:00:00+00:00,2016-11-06T00:00:00+00:00,day,calendar.18529.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2017-01-03T16:17:36+00:00,"Central and Eastern Europe, Bulgaria",https://www.ndi.org/node/18529
Gabon Presidential Election 2009,2009-08-30T08:00:00-04:00,2009-08-30T08:00:00-04:00,second,calendar.11949.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Gabon",https://www.ndi.org/node/11949
"2018 Togo Local, Referendum Elections",2018-12-17T00:00:00+00:00,2018-12-16T00:00:00+00:00,day,calendar.25186.field_ndi_elect_day_date.0@www.ndi.org,"Local, Referendum",2024-07-10T13:22:59+00:00,2018-10-09T15:56:38+00:00,Togo,https://www.ndi.org/2018-togo-local-referendum-elections
2020 Slovakia Parliamentary Election,2020-03-01T00:00:00+00:00,2020-02-29T00:00:00+00:00,day,calendar.25525.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2019-11-26T16:27:07+00:00,Central and Eastern Europe,https://www.ndi.org/2020-slovakia-parliamentary-election
2016 Montenegro Parliamentary Election,2016-10-17T00:00:00+00:00,2016-10-16T00:00:00+00:00,day,calendar.12323.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2017-01-03T20:01:00+00:00,"Central and Eastern Europe, Montenegro",https://www.ndi.org/node/12323
Sudan General Election 2010,2010-04-17T08:00:00-04:00,2010-04-11T08:00:00-04:00,second,calendar.11974.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Sudan",https://www.ndi.org/node/11974
Haiti Legislative (Second round) 2009,2009-06-21T08:00:00-04:00,2009-06-21T08:00:00-04:00,second,calendar.12288.field_ndi_elect_day_date.0@www.ndi.org,Legislative Runoff,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Latin America & the Caribbean, Haiti",https://www.ndi.org/node/12288
Mexico Presidential/Parliamentary Election 2006,2006-07-02T08:00:00-04:00,2006-07-02T08:00:00-04:00,second,calendar.11807.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Latin America & the Caribbean, Mexico",https://www.ndi.org/node/11807
Albania Local Election 2007,2007-02-18T10:00:00-05:00,2007-02-18T10:00:00-05:00,second,calendar.11832.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Albania",https://www.ndi.org/node/11832
Kosovo Local Election 2013,2013-11-03T09:00:00-05:00,2013-11-03T09:00:00-05:00,second,calendar.12146.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, Kosovo",https://www.ndi.org/node/12146
2022 Costa Rica General Elections,2022-02-07T00:00:00+00:00,2022-02-06T00:00:00+00:00,day,calendar.26193.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2021-07-08T15:21:53+00:00,Costa Rica,https://www.ndi.org/2022-costa-rica-general-elections
Burkina Faso Local Election 2006,2006-03-12T10:00:00-05:00,2006-03-12T10:00:00-05:00,second,calendar.11797.field_ndi_elect_day_date.0@www.ndi.org,Local,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Sub Saharan Africa, Burkina Faso",https://www.ndi.org/node/11797
2020 Sri Lanka Parliamentary Election,2020-08-06T00:00:00+00:00,2020-08-05T00:00:00+00:00,day,calendar.25712.field_ndi_elect_day_date.0@www.ndi.org,Parliamentary,2024-07-10T13:22:59+00:00,2020-06-11T00:13:03+00:00,Sri Lanka,https://www.ndi.org/2020-sri-lanka-parliamentary-election
Macedonia Presidential Election 2014,2014-04-13T08:00:00-04:00,2014-04-13T08:00:00-04:00,second,calendar.12171.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Central and Eastern Europe, North Macedonia",https://www.ndi.org/node/12171
2021 Djibouti Presidential Election,2021-04-10T00:00:00+00:00,2021-04-09T00:00:00+00:00,day,calendar.26026.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:23:00+00:00,2021-02-09T16:26:38+00:00,Djibouti,https://www.ndi.org/2021-djibouti-presidential-election
Philippines General Election 2010,2010-05-10T08:00:00-04:00,2010-05-10T08:00:00-04:00,second,calendar.12004.field_ndi_elect_day_date.0@www.ndi.org,General,2024-07-10T13:22:59+00:00,2016-10-28T16:22:30+00:00,"Philippines, Asia",https://www.ndi.org/node/12004
2018 Georgia Presidential Run-off Election,2018-11-29T00:00:00+00:00,2018-11-28T00:00:00+00:00,day,calendar.25231.field_ndi_elect_day_date.0@www.ndi.org,Presidential Runoff,2024-07-10T13:22:59+00:00,2018-11-30T21:18:42+00:00,Georgia,https://www.ndi.org/2018-georgia-presidential-run-election
2015 Uzbekistan Presidential Election,2015-03-30T00:00:00+00:00,2015-03-29T00:00:00+00:00,day,calendar.12308.field_ndi_elect_day_date.0@www.ndi.org,Presidential,2024-07-10T13:22:59+00:00,2017-02-10T17:25:25+00:00,"Eurasia, Uzbekistan",https://www.ndi.org/node/12308
